gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,10,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),48.55,564.62,0
Female,0,No,Yes,15,No,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),106.88,1654.83,1
Female,1,Yes,No,13,No,No phone service,No,No internet service,Yes,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),84.26,1126.86,0
Male,0,No,Yes,60,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,41.5,2535.98,1
Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),128.99,8847.51,0
Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),144.25,5153.12,0
Female,0,Yes,No,65,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),73.43,4721.6,0
Male,0,No,No,1,Yes,No,No,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),52.89,97.13,0
Male,1,Yes,No,5,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),60.8,273.83,0
Male,0,No,No,43,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),90.05,3920.35,1
Female,0,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),137.87,9442.03,0
Male,0,Yes,Yes,68,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,114.93,7792.5,1
Male,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),48.01,1589.48,0
Female,0,No,Yes,15,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),50.38,763.85,0
Male,0,Yes,No,56,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,83.79,4725.69,1
Male,0,Yes,No,32,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,104.29,3297.84,1
Male,0,Yes,No,18,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),47.21,775.4,0
Male,0,No,Yes,33,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),36.76,1224.03,1
Male,0,No,Yes,11,No,No phone service,No,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),28.21,283.38,0
Male,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),110.35,2716.17,0
Female,0,No,No,31,Yes,No,DSL,No,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),61.11,1866.99,0
Male,0,No,Yes,16,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),8.62,174.32,1
Male,0,Yes,No,1,Yes,Yes,DSL,No internet service,No,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),116.47,7.47,0
Male,0,Yes,Yes,30,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),88.17,2607.56,1
Female,0,Yes,Yes,66,No,No phone service,No,No internet service,No,No,No internet service,Yes,No,One year,Yes,Electronic check,47.4,3051.11,0
Female,1,No,Yes,25,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.57,1497.64,0
Female,0,Yes,No,27,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,92.61,2525.13,1
Female,0,Yes,No,37,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No,Yes,One year,No,Electronic check,57.45,2098.17,0
Male,0,Yes,Yes,24,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,107.55,2631.23,0
Male,0,No,Yes,7,No,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.16,242.57,0
Male,0,No,No,12,Yes,No,No,No,No internet service,Yes,No,No,No,One year,Yes,Bank transfer (automatic),49.26,521.57,1
Female,0,No,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),99.0,6354.89,1
Female,0,No,Yes,8,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,114.88,881.72,1
Female,0,Yes,No,26,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Credit card (automatic),95.11,2492.67,0
Female,0,Yes,No,50,Yes,No,No,No internet service,No,No,No internet service,Yes,No,One year,Yes,Mailed check,97.95,4795.59,0
Female,0,Yes,Yes,67,Yes,Yes,No,No,No,Yes,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),49.8,3251.91,0
Female,0,Yes,No,40,No,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,63.5,2521.76,1
Male,1,No,No,9,No,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.57,702.96,0
Male,1,No,No,22,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,65.5,1546.1,0
Female,0,Yes,Yes,64,No,No phone service,No,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,64.24,4237.11,0
Male,1,No,Yes,17,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,99.73,1731.48,0
Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),68.32,2339.24,1
Female,0,No,Yes,45,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,84.81,3746.38,0
Female,1,Yes,Yes,25,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,49.19,1221.7,1
Female,1,Yes,Yes,57,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),104.46,5928.19,0
Female,0,No,Yes,70,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,55.98,3911.49,0
Male,0,No,Yes,49,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),65.43,3210.03,0
Male,1,No,No,34,No,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,No,Mailed check,81.13,2774.49,0
Male,0,No,Yes,12,No,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,55.96,599.11,0
Male,0,No,Yes,36,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,84.01,2951.24,0
Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),93.77,1381.73,0
Male,0,No,No,45,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),20.79,876.95,0
Male,0,No,Yes,57,No,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),79.9,4435.84,0
Female,0,No,Yes,59,Yes,No,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,29.21,1623.34,0
Female,0,Yes,No,56,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.34,2015.48,0
Female,1,Yes,Yes,8,No,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,97.64,781.03,0
Male,0,No,Yes,36,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,106.61,3885.77,0
Male,0,No,No,50,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,47.82,2443.37,0
Female,0,No,Yes,17,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),57.44,1001.18,0
Female,0,Yes,No,31,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.0,2200.14,0
Female,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,One year,Yes,Credit card (automatic),22.72,416.8,0
Female,0,Yes,No,65,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.61,7104.54,0
Female,0,Yes,No,40,No,No phone service,DSL,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,92.13,3744.31,0
Male,1,Yes,No,13,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,92.83,1217.71,0
Male,0,No,Yes,54,No,No phone service,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,37.18,2016.55,0
Male,1,No,No,8,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),55.3,485.41,1
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,No,Credit card (automatic),97.74,1031.46,0
Female,0,Yes,No,40,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,54.7,2231.69,0
Male,0,No,No,57,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,98.98,5680.09,1
Female,0,No,Yes,32,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),25.83,795.71,0
Female,0,No,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,42.87,816.28,1
Female,0,No,No,56,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,94.28,5353.3,0
Male,1,Yes,Yes,35,No,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,70.09,2465.31,0
Male,0,Yes,No,18,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,No,One year,No,Mailed check,16.97,272.78,0
Female,0,Yes,Yes,29,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),61.66,1901.9,0
Female,0,No,Yes,13,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Credit card (automatic),63.13,794.79,0
Male,0,No,No,45,No,No phone service,DSL,No,No,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),86.27,3816.41,0
Female,0,No,No,56,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,14.63,893.46,0
Female,1,No,No,5,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),93.61,431.56,0
Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,Yes,Mailed check,123.24,5298.48,0
Male,0,No,No,52,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,57.34,3000.36,0
Female,0,Yes,No,41,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Mailed check,36.44,1417.31,0
Female,0,No,No,24,No,No phone service,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,90.86,2182.95,1
Male,0,Yes,No,46,No,No phone service,DSL,No internet service,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),111.17,5189.94,0
Male,0,Yes,Yes,45,No,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,65.49,2983.43,0
Male,0,No,Yes,64,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),43.95,2880.23,0
Male,0,No,Yes,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,100.28,5897.81,0
Male,0,No,No,68,No,No phone service,DSL,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,21.67,1410.77,0
Male,1,Yes,Yes,10,Yes,Yes,No,No,No,No internet service,Yes,No,No,Two year,Yes,Mailed check,12.62,107.51,0
Male,0,No,No,25,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,118.65,2908.47,0
Male,1,No,No,71,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),84.91,5959.85,0
Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Two year,No,Bank transfer (automatic),54.62,1533.89,0
Female,0,Yes,Yes,49,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),95.72,4698.32,0
Female,0,Yes,Yes,67,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),133.28,8959.57,1
Female,0,No,Yes,12,No,No phone service,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,84.68,1035.85,0
Male,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),19.13,640.22,0
Male,0,Yes,No,50,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,114.75,5668.87,0
Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.08,6482.09,1
Female,1,Yes,No,67,Yes,No,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),33.22,2160.93,1
Female,0,Yes,No,4,Yes,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),66.1,252.2,1
Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),74.36,57.44,0
Male,0,No,Yes,2,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,115.05,214.19,0
Female,1,No,Yes,10,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,No,One year,Yes,Mailed check,81.53,744.69,0
Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,No,Electronic check,59.18,3892.14,0
Female,0,Yes,Yes,47,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),50.66,2377.69,0
Male,0,No,Yes,56,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.04,5641.45,1
Male,0,No,No,34,No,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,114.56,3872.83,1
Female,0,Yes,No,57,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,117.37,6720.12,0
Female,0,No,Yes,25,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,68.26,1702.24,1
Male,0,No,Yes,58,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),42.36,2467.4,1
Female,0,No,Yes,35,No,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.96,3308.46,1
Male,0,Yes,No,28,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),103.38,2910.17,0
Female,0,No,No,5,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Two year,Yes,Electronic check,43.29,81.34,0
Male,0,No,No,29,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,86.53,2575.92,0
Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.11,1961.32,0
Female,0,No,Yes,52,No,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,55.4,2860.71,0
Female,0,No,No,1,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,119.08,91.9,1
Female,0,No,No,32,No,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,107.93,3497.33,0
Female,0,Yes,Yes,66,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,63.89,4186.86,0
Female,0,No,No,16,No,No phone service,DSL,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,59.51,991.35,0
Female,0,Yes,No,42,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Two year,Yes,Mailed check,84.69,3573.29,0
Male,0,Yes,Yes,51,No,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),90.9,4658.6,0
Female,0,No,Yes,69,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),40.24,2747.29,0
Male,0,Yes,Yes,49,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,23.14,1114.78,0
Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),118.93,2566.09,1
Female,0,No,No,9,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,94.6,930.24,0
Male,1,No,No,33,Yes,Yes,No,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),34.54,1217.65,1
Male,1,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,No,Two year,Yes,Electronic check,68.21,1184.49,0
Male,0,No,No,20,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),122.07,2493.54,0
Male,1,No,Yes,20,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,57.02,1110.16,0
Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,80.15,2302.41,0
Male,0,No,Yes,49,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),72.29,3543.92,0
Male,0,No,No,5,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),46.51,290.25,0
Male,0,No,Yes,64,No,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),47.82,3050.58,0
Male,0,Yes,No,14,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),119.02,1611.41,0
Female,0,Yes,Yes,57,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Electronic check,57.37,3215.48,0
Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,90.11,1835.95,0
Female,1,No,No,47,Yes,No,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.81,1348.14,1
Female,0,No,No,18,No,No phone service,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),120.48,2218.84,1
Male,0,Yes,No,62,No,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,100.18,6134.24,0
Female,0,No,Yes,70,No,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),29.29,2066.02,0
Male,0,Yes,Yes,27,Yes,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),91.76,2443.89,1
Female,0,Yes,Yes,39,Yes,No,No,No internet service,No,Yes,No,No,No,One year,No,Mailed check,75.51,2969.91,0
Male,0,Yes,Yes,27,Yes,No,DSL,Yes,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),51.83,1411.26,0
Male,1,Yes,No,35,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.38,2123.78,1
Male,0,No,No,40,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,75.4,2994.24,0
Male,0,Yes,Yes,47,No,No phone service,No,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,86.53,4100.53,0
Male,0,Yes,No,42,Yes,No,No,No,Yes,No,Yes,No,No,Two year,No,Mailed check,45.08,2026.33,0
Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,115.56,3845.03,1
Male,0,Yes,Yes,32,No,No phone service,DSL,Yes,No internet service,No internet service,No,No,No,One year,No,Electronic check,81.82,2728.47,1
Female,0,No,No,36,No,No phone service,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,25.29,861.17,0
Male,1,No,Yes,27,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,115.63,3089.4,0
Male,0,No,Yes,68,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,140.96,9492.68,1
Male,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,45.28,512.61,0
Female,1,Yes,Yes,37,Yes,No,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.12,1266.09,1
Female,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),46.98,3095.4,0
Female,0,No,Yes,39,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,47.12,1885.13,0
Female,0,Yes,Yes,14,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),123.44,1729.47,0
Male,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,105.51,2258.88,0
Male,0,No,No,38,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,66.37,2482.56,1
Female,1,Yes,No,32,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),64.51,2080.92,1
Female,0,Yes,No,32,Yes,Yes,No,Yes,No internet service,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),86.58,2856.68,0
Male,0,Yes,No,42,No,No phone service,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),41.39,1723.69,0
Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),87.98,4248.85,1
Female,0,Yes,Yes,47,No,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,85.75,4028.49,1
Female,1,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,88.3,1547.4,0
Female,0,No,Yes,28,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),98.72,2729.53,0
Female,0,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Two year,Yes,Mailed check,88.51,2744.17,0
Male,0,No,No,46,Yes,No,DSL,No internet service,No,No,Yes,No,Yes,Two year,Yes,Electronic check,22.9,987.0,0
Female,0,No,No,2,No,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,79.16,170.67,0
Male,0,Yes,Yes,23,No,No phone service,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),113.25,2611.6,0
Female,0,No,No,53,No,No phone service,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),56.73,3072.2,0
Female,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),57.49,1597.66,0
Male,0,No,Yes,67,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,48.02,3203.01,1
Female,0,No,No,60,No,No phone service,No,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),43.78,2591.39,1
Male,0,No,Yes,60,No,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.81,6306.56,1
Female,0,No,Yes,24,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Two year,No,Electronic check,47.84,1098.78,0
Female,0,No,No,34,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,120.54,4161.94,0
Female,0,Yes,No,50,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,39.65,2020.54,0
Male,0,No,No,28,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No internet service,Two year,No,Credit card (automatic),100.18,2842.12,0
Male,0,No,No,28,No,No phone service,No,No internet service,No,Yes,No,No,No,One year,Yes,Electronic check,39.31,1150.01,0
Female,1,No,Yes,68,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,52.73,3543.71,1
Female,1,Yes,Yes,38,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,One year,No,Electronic check,62.27,2360.7,0
Female,1,No,No,66,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),128.85,8551.24,0
Female,0,Yes,Yes,69,No,No phone service,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),56.08,3784.63,0
Male,0,No,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,Yes,Electronic check,134.78,7181.49,0
Female,0,No,No,50,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,42.39,2131.0,0
